"","year","date","guest_name"
"254",2000,"4/10/00","Roger Daltrey"
"255",2000,"4/11/00","Ben Stein"
"256",2000,"4/12/00","Patrick Stewart"
"257",2000,"4/13/00","David Alan Grier"
"258",2000,"4/17/00","Stanley Tucci"
"259",2000,"4/18/00","Samantha Mathis"
"260",2000,"4/19/00","Diamond Dallas Page"
"261",2000,"4/20/00","Arlen Specter"
"262",2000,"4/24/00","Hugh Hefner and Bentley twins"
"263",2000,"4/24/00","Hugh Hefner and Bentley twins"
"264",2000,"4/25/00","Kirsten Dunst"
"265",2000,"4/26/00","Jeanne Tripplehorn"
"266",2000,"4/27/00","Stephen Baldwin"
"267",2000,"5/1/00","S. Epatha Merkerson"
"268",2000,"5/10/00","Andy Richter"
"269",2000,"5/11/00","Betty White"
"270",2000,"5/15/00","Tracey Ullman"
"271",2000,"5/16/00","Kyle MacLachlan"
"272",2000,"5/17/00","Jane Leeves"
"273",2000,"5/18/00","Michael Rapaport"
"274",2000,"5/2/00","Luke Wilson"
"275",2000,"5/3/00","Julie Warner"
"276",2000,"5/30/00","Laura Kightlinger"
"277",2000,"5/31/00","Thandie Newton"
"278",2000,"5/4/00","Eric Close"
"279",2000,"5/8/00","Wendie Malick"
"280",2000,"5/9/00","Jesse L. Martin"
"281",2000,"6/1/00","Sonja Christopher"
"282",2000,"6/13/00","Mark Curry"
"283",2000,"6/14/00","Jimmy Kimmel & Adam Carolla"
"284",2000,"6/14/00","Jimmy Kimmel & Adam Carolla"
"285",2000,"6/15/00","Julie Brown"
"286",2000,"6/19/00","Heather Donahue"
"287",2000,"6/20/00","Joe Lockhart"
"288",2000,"6/21/00","Freddie Prinze Jr."
"289",2000,"6/22/00","Alicia Silverstone"
"290",2000,"6/26/00","Cheri Oteri"
"291",2000,"6/27/00","Jeff Probst"
"292",2000,"6/28/00","Richie Sambora"
"293",2000,"6/29/00","John C. Reilly"
"294",2000,"6/5/00","Penn and Teller"
"295",2000,"6/6/00","Kelli Williams"
"296",2000,"6/7/00","Michael Moore"
"297",2000,"7/10/00","Anna Paquin"
"298",2000,"7/11/00","J. K. Simmons"
"299",2000,"7/12/00","Famke Janssen"
"300",2000,"7/13/00","Billy Crudup"
"301",2000,"7/17/00","Shawn Wayans & Marlon Wayans"
"302",2000,"7/17/00","Shawn Wayans & Marlon Wayans"
"303",2000,"7/18/00","Halle Berry"
"304",2000,"7/19/00","Fourth Anniversary Special"
"305",2000,"7/20/00","Al Roker"
"306",2000,"7/24/00","Peter Fonda"
"307",2000,"7/25/00","Joe Eszterhas"
"308",2000,"7/26/00","Jennifer Beals"
"309",2000,"7/31/00","Campaign Trail to the Road to the White House Mo Rocca, Vance DeGeneres"
"310",2000,"8/1/00","Bob Dole"
"311",2000,"8/15/00","Bob Kerrey"
"312",2000,"8/16/00","William Baldwin"
"313",2000,"8/18/00","Bob Dole"
"314",2000,"8/2/00","Mary Bono"
"315",2000,"8/22/00","Jeremy Piven"
"316",2000,"8/23/00","Slash"
"317",2000,"8/24/00","Vincent D'Onofrio"
"318",2000,"8/3/00","Bob Dole"
"319",2000,"8/4/00","Robert Reich and Ben Stein"
"320",2000,"8/4/00","Robert Reich and Ben Stein"
"321",2000,"9/11/00","Joe Mantegna"
"322",2000,"9/12/00","Eugene Levy"
"323",2000,"9/13/00","Lennox Lewis"
"324",2000,"9/14/00","Joe Lieberman"
"325",2000,"9/18/00","Ryan Phillippe"
"326",2000,"9/19/00","Jamie Lee Curtis"
"327",2000,"9/20/00","Barenaked Ladies"
"328",2000,"9/21/00","Jamie Foxx"
"329",2000,"9/25/00","Jonathan Katz"
"330",2000,"9/26/00","Bill Goldberg"
"331",2000,"9/27/00","Sylvester Stallone"
"332",2000,"9/28/00","Tony Danza"
"333",2000,"9/5/00","Donal Logue"
"334",2000,"9/6/00","Greg Kinnear"
"335",2000,"9/7/00","Spinal Tap"
"336",2001,"1/10/01","Vitamin C"
"337",2001,"1/11/01","Julia Stiles"
"338",2001,"1/15/01","Willem Dafoe"
"339",2001,"1/16/01","Tim Robbins"
"340",2001,"1/17/01","Sam Donaldson"
"341",2001,"1/18/01","Lynn Whitfield"
"342",2001,"1/22/01","Bill O'Reilly"
"343",2001,"1/23/01","Matthew McConaughey"
"344",2001,"1/24/01","Terry Bradshaw"
"345",2001,"1/25/01","Topher Grace"
"346",2001,"1/29/01","David Boreanaz"
"347",2001,"1/30/01","Dyan Cannon"
"348",2001,"1/31/01","James van der Beek"
"349",2001,"1/9/01","Richard Lewis"
"350",2001,"10/1/01","Kelsey Grammer"
"351",2001,"10/10/01","Jeremy Piven"
"352",2001,"10/11/01","John Miller"
"353",2001,"10/15/01","Emeril Lagasse"
"354",2001,"10/16/01","Lorraine Bracco"
"355",2001,"10/17/01","Snoop Dogg"
"356",2001,"10/18/01","Fareed Zakaria"
"357",2001,"10/2/01","James Belushi"
"358",2001,"10/22/01","Lance Bass"
"359",2001,"10/23/01","Don Dahler"
"360",2001,"10/24/01","Greta Van Susteren"
"361",2001,"10/25/01","Jeff Bridges"
"362",2001,"10/3/01","Stephen S. Morse"
"363",2001,"10/30/01","Rob Morrow"
"364",2001,"10/31/01","Richard Holbrooke"
"365",2001,"10/4/01","Kate Beckinsale"
"366",2001,"10/9/01","Owen Wilson"
"367",2001,"11/1/01","Kevin Spacey"
"368",2001,"11/12/01","Steve Kroft"
"369",2001,"11/13/01","Anne Robinson"
"370",2001,"11/14/01","Carson Daly"
"371",2001,"11/15/01","John Stamos"
"372",2001,"11/26/01","Edward Burns"
"373",2001,"11/27/01","Star Jones"
"374",2001,"11/28/01","Jennifer Garner"
"375",2001,"11/29/01","David Halberstam"
"376",2001,"11/5/01","Paul Rudd"
"377",2001,"11/6/01","P. J. O'Rourke"
"378",2001,"11/7/01","George Stephanopoulos"
"379",2001,"11/8/01","Jennifer Saunders"
"380",2001,"12/10/01","Stephen Colbert as Al Sharpton (Sharpton had been the scheduled guest)"
"381",2001,"12/11/01","Dave Gorman"
"382",2001,"12/12/01","Janeane Garofalo"
"383",2001,"12/13/01","Tracey Ullman"
"384",2001,"12/17/01","Elijah Wood"
"385",2001,"12/18/01","Peggy Noonan"
"386",2001,"12/19/01","Gary Sinise"
"387",2001,"12/20/01","Jamie Foxx"
"388",2001,"12/3/01","Nadine Strossen"
"389",2001,"12/4/01","John Edward"
"390",2001,"12/5/01","Marg Helgenberger"
"391",2001,"12/6/01","Ted Danson"
"392",2001,"2/1/01","Tim Blake Nelson"
"393",2001,"2/12/01","Dave Grohl"
"394",2001,"2/13/01","Kermit the Frog"
"395",2001,"2/14/01","Jessica Alba"
"396",2001,"2/15/01","Wanda Sykes"
"397",2001,"2/20/01","Greg Germann"
"398",2001,"2/21/01","Chris Rock"
"399",2001,"2/22/01","Kelly Ripa"
"400",2001,"2/26/01","Ted Danson"
"401",2001,"2/27/01","Joe Pantoliano"
"402",2001,"2/28/01","Heather Locklear"
"403",2001,"3/1/01","Warren Christopher"
"404",2001,"3/19/01","Chris Meloni"
"405",2001,"3/20/01","Mary Stuart Masterson"
"406",2001,"3/21/01","Jeff Varner"
"407",2001,"3/22/01","Denis Leary"
"408",2001,"3/26/01","Richard Roeper"
"409",2001,"3/27/01","Richard Lewis"
"410",2001,"3/28/01","Mark Harmon"
"411",2001,"3/29/01","Jennifer Love Hewitt"
"412",2001,"3/5/01","Martin Short"
